"filename", "language", "C#", "UnityShader", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, -198, 0, 0, 0, -10, -51, -259
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, -193, 0, 0, 0, -8, -52, -253
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, -82, 0, 0, 0, -4, -21, -107
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "UnityShader", 0, -290, 0, 0, 0, -15, -85, -390
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, -192, 0, 0, 0, -8, -51, -251
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, -104, 0, 0, 0, -8, -28, -140
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, -123, 0, 0, 0, -4, -33, -160
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -70, -327
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, -111, 0, 0, 0, 0, -21, -132
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, -63, 0, 0, 0, -2, -20, -85
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, -129, 0, 0, 0, -2, -35, -166
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, -62, 0, 0, 0, -6, -13, -81
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, -75, 0, 0, 0, -7, -18, -100
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, 0, -155, 0, 0, -2, -157
"Total", "-", -4624, -3591, -20694, -189, -1228, -1147, -3068, -34541
